,team1Player1,team1Player2,team1Player3,team1Player4,team1Player5,team1Player6,team1Player7,team1Player8,team1Player9,team1Player10,team1Player11,team1Player12,team1Player13,team1Player14,team1Player15,team1Player16,team1Player17,team1Player18,team1Golie1,team2Player1,team2Player2,team2Player3,team2Player4,team2Player5,team2Player6,team2Player7,team2Player8,team2Player9,team2Player10,team2Player11,team2Player12,team2Player13,team2Player14,team2Player15,team2Player16,team2Player17,team2Player18,team2Golie1,score
25,S. Downie,T. Fedoruk,Z. Konopka,V. Lecavalier,R. Malone,M. Parrish,T. Purcell,M. St. Louis,S. Stamkos,A. Tanguay,N. Thompson,S. Veilleux,K. Foster,V. Hedman,M. Lundin,A. Meszaros,M. Ohlund,M. Smaby,M. Smith,N. Backstrom,E. Belanger,J. Chimera,E. Fehr,T. Fleischmann,B. Gordon,M. Knuble,B. Laich,B. Morrison,A. Ovechkin,A. Semin,S. Walker,J. Carlson,J. Corvo,M. Green,S. Morrisonn,T. Poti,J. Schultz,S. Varlamov,1.0
26,D. Brown,R. Clune,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,S. Parse,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,J. Arnott,J.P. Dumont,M. Erat,M. Goc,P. Hornqvist,D. Legwand,C. O'Reilly,J. Smithson,S. Sullivan,J. Tootoo,J. Ward,C. Wilson,F. Bouillon,D. Grebeshkov,D. Hamhuis,K. Klein,R. Suter,S. Weber,P. Rinne,1.0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,B. Maxwell,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,D. Brown,R. Clune,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,S. Parse,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,0.0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,T. Bertuzzi,D. Cleary,P. Datsyuk,K. Draper,P. Eaves,V. Filppula,J. Franzen,D. Helm,T. Holmstrom,D. Miller,J. Williams,H. Zetterberg,N. Kronwall,B. Lebda,N. Lidstrom,A. Lilja,B. Rafalski,B. Stuart,J. Howard,D. Bolland,T. Brouwer,B. Eager,M. Hossa,P. Kane,T. Kopecky,A. Ladd,J. Madden,P. Sharp,J. Toews,K. Versteeg,D. Byfuglien,B. Campbell,J. Hendry,N. Hjalmarsson,K. Johnsson,D. Keith,B. Seabrook,A. Niemi,0.0
44,A. Burrows,P. Demitra,T. Glass,J. Hansen,R. Johnson,R. Kesler,M. Raymond,R. Rypien,M. Samuelsson,D. Sedin,H. Sedin,K. Wellwood,A. Alberts,A. Edler,C. Ehrhoff,S. O'Brien,A. Rome,S. Salo,R. Luongo,J. Arnott,D. Boyd,J.P. Dumont,M. Erat,M. Goc,P. Hornqvist,D. Legwand,J. Smithson,S. Sullivan,J. Tootoo,J. Ward,C. Wilson,F. Bouillon,C. Franson,D. Grebeshkov,D. Hamhuis,K. Klein,R. Suter,P. Rinne,0.0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,B. Maxwell,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,C. Price,J. Halak,M. Beleskey,J. Blake,T. Bodie,M. Brown,K. Chipchura,R. Getzlaf,S. Koivu,T. Marchant,C. Perry,B. Ryan,T. Selanne,D. Sexton,S. Brookbank,S. Eminger,S. Niedermayer,L. Visnovsky,A. Ward,J. Wisniewski,0.0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A. Burrows,P. Demitra,T. Glass,J. Hansen,R. Johnson,R. Kesler,M. Raymond,R. Rypien,M. Samuelsson,D. Sedin,H. Sedin,K. Wellwood,A. Alberts,A. Edler,C. Ehrhoff,S. O'Brien,A. Rome,S. Salo,R. Luongo,M. Duchene,C. Durno,T.J. Galiardi,M. Hejduk,M. Hendricks,C. McLeod,P. Mueller,R. O'Reilly,P. Stastny,C. Stewart,M. Svatos,S. Yelle,K. Cumiskey,A. Foote,S. Hannan,J. Liles,K. Quincey,R. Wilson,C. Anderson,0.0
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,B. Bochenski,S. Downie,T. Fedoruk,V. Lecavalier,M. Parrish,T. Purcell,M. St. Louis,S. Stamkos,P. Szczechura,A. Tanguay,N. Thompson,S. Veilleux,K. Foster,V. Hedman,M. Lundin,A. Meszaros,M. Ohlund,M. Walker,M. Smith,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,B. Maxwell,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,1.0
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,D. Brown,R. Clune,A. Frolov,J. Halpern,M. Handzus,R. Ivanans,A. Kopitar,F. Modin,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,D. Bolland,T. Brouwer,A. Burish,B. Eager,M. Hossa,P. Kane,A. Ladd,J. Madden,P. Sharp,J. Toews,K. Versteeg,D. Byfuglien,B. Campbell,N. Hjalmarsson,K. Johnsson,D. Keith,B. Seabrook,B. Sopel,A. Niemi,1.0
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,G. Brule,A. Cogliano,M. Comrie,S. Gagner,S. Horcoff,C. Minard,R. Nilsson,D. Penner,F. Pisani,R. Potulny,M. Pouliot,Z. Stortini,T. Chorney,T. Gilbert,A. Johnson,T. Peckham,J. Strudwick,R. Whitney,D. Dubnyk,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,B. Maxwell,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,1.0
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,T. Connolly,M. Ellis,P. Gaustad,M. Grier,J. Hecht,P. Kaleta,T. Kennedy,A. Mair,J. Pominville,D. Roy,R. Torres,T. Vanek,T. Lydman,S. Montador,T. Myers,C. Rivet,A. Sekera,H. Tallinder,R. Miller,T. Bertuzzi,D. Cleary,P. Datsyuk,K. Draper,P. Eaves,V. Filppula,J. Franzen,D. Helm,T. Holmstrom,D. Miller,J. Williams,H. Zetterberg,N. Kronwall,B. Lebda,N. Lidstrom,A. Lilja,B. Rafalski,B. Stuart,J. Howard,1.0
86,S. Begin,P. Bergeron,D. Krejci,M. Lucic,B. Marchand,D. Paille,M. Recchi,M. Ryder,V. Sobotka,M. Sturm,S. Thornton,B. Wheeler,J. Boychuk,Z. Chara,M. Hunwick,D. Seidenberg,M. Stuart,D. Wideman,T. Rask,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,1.0
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,J. Arnott,D. Boyd,J.P. Dumont,M. Erat,M. Goc,P. Hornqvist,D. Legwand,J. Smithson,S. Sullivan,J. Tootoo,J. Ward,C. Wilson,F. Bouillon,C. Franson,D. Hamhuis,K. Klein,R. Suter,S. Weber,P. Rinne,D. Brown,R. Clune,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,0.0
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,A. Anisimov,S. Avery,B. Boyle,R. Callahan,E. Christensen,C. Drury,B. Dubinsky,M. Gaborik,O. Jokinen,V. Prospal,B. Prust,J. Shelley,M. Del Zotto,M. Gilroy,D. Girardi,W. Redden,M. Rozsival,M. Staal,H. Lundqvist,0.0
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,C. Adams,M. Cooke,S. Crosby,P. Dupuis,R. Fedotenko,E. Godard,B. Guerin,T. Kennedy,C. Kunitz,A. Ponikarovsky,M. Rupp,J. Staal,M. Eaton,A. Goligoski,S. Gonchar,J. Leopold,K. Letang,B. Orpik,M. Fleury,S. Begin,P. Bergeron,D. Krejci,M. Lucic,D. Paille,M. Recchi,M. Ryder,M. Satan,V. Sobotka,M. Sturm,S. Thornton,B. Wheeler,Z. Chara,A. Ference,M. Hunwick,D. Seidenberg,M. Stuart,D. Wideman,T. Rask,0.0
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,D. Bolland,T. Brouwer,A. Burish,B. Eager,M. Hossa,P. Kane,T. Kopecky,A. Ladd,J. Madden,P. Sharp,J. Toews,K. Versteeg,N. Boynton,D. Byfuglien,J. Hendry,N. Hjalmarsson,D. Keith,B. Sopel,A. Niemi,D. Brown,R. Clune,A. Frolov,M. Handzus,R. Ivanans,A. Kopitar,F. Modin,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,0.0
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,T. Bertuzzi,D. Cleary,P. Datsyuk,K. Draper,P. Eaves,V. Filppula,J. Franzen,D. Helm,T. Holmstrom,D. Miller,J. Williams,H. Zetterberg,J. Ericsson,N. Kronwall,N. Lidstrom,A. Lilja,B. Rafalski,B. Stuart,J. Howard,G. Brule,A. Cogliano,S. Gagner,S. Horcoff,C. Minard,E. Moreau,R. Nilsson,D. Penner,F. Pisani,R. Potulny,M. Pouliot,Z. Stortini,T. Chorney,T. Gilbert,A. Johnson,T. Peckham,J. Strudwick,R. Whitney,D. Dubnyk,1.0
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,A. Anisimov,S. Avery,B. Boyle,R. Callahan,E. Christensen,C. Drury,B. Dubinsky,M. Gaborik,O. Jokinen,V. Prospal,B. Prust,J. Shelley,M. Del Zotto,M. Gilroy,D. Girardi,W. Redden,M. Rozsival,M. Staal,H. Lundqvist,S. Begin,P. Bergeron,D. Krejci,M. Lucic,D. Paille,M. Recchi,M. Ryder,M. Satan,V. Sobotka,M. Sturm,S. Thornton,B. Wheeler,J. Boychuk,Z. Chara,A. Ference,D. Seidenberg,M. Stuart,D. Wideman,T. Rask,1.0
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,M. Duchene,C. Durno,T.J. Galiardi,M. Hejduk,M. Hendricks,C. McLeod,P. Mueller,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,D. Tucker,B. Clark,K. Cumiskey,A. Foote,S. Hannan,K. Quincey,R. Salei,C. Anderson,D. Brown,R. Clune,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,1.0
157,D. Alfredsson,M. Cullen,M. Fisher,N. Foligno,C. Kelly,A. Kovalev,C. Neil,P. Regin,J. Ruutu,Z. Smith,J. Spezza,J. Winchester,C. Campoli,M. Carkner,E. Karlsson,C. Phillips,A. Sutton,A. Volchenkov,B. Elliott,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,0.0
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,M. Cammalleri,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,G. Metropolit,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,M. Bergeron,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,C. Price,T. Connolly,M. Ellis,P. Gaustad,M. Grier,J. Hecht,P. Kaleta,T. Kennedy,A. Mair,J. Pominville,D. Roy,D. Stafford,T. Vanek,T. Lydman,S. Montador,T. Myers,C. Rivet,A. Sekera,H. Tallinder,R. Miller,1.0
169,D. Brown,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,D. Drewiske,P. Harrold,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,M. Duchene,C. Durno,T.J. Galiardi,M. Hejduk,M. Hendricks,C. McLeod,P. Mueller,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,M. Svatos,B. Clark,K. Cumiskey,A. Foote,S. Hannan,K. Quincey,R. Salei,C. Anderson,1.0
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
